nombre_campo,longitud,tipo,nemónico,catálogo,rango_claves 
"Pregunta P8.2.2 En total, ¿cuántos préstamos debe a familiares o amigos?","1","C","p8_2_2","p8_2_2","1…9"
"Pregunta P8.3.2 ¿Cuánto le prestaron familiares o amigos (considerando todos los préstamos)?","6","C","p8_3_2","p8_3_2","000001...800000,900000,999888,999999"
"Pregunta P8.4.2 De lo que le prestaron, ¿cuánto debe todavía a familiares o amigos?","6","C","p8_4_2","p8_4_2","000003...650000,900000,999888,999999"
"Pregunta P8.5.2 ¿Cuánto pagó el mes pasado (considerando todos los préstamos) familiares o amigos?","6","C","p8_5_2","p8_5_2","000000,000003...100000,999999"
"Pregunta P8.6.2.1 ¿En cuánto tiempo cree que terminará de pagar este préstamo de familiares o amigos?","1","C","p8_6_2_1","p8_6_2_1","0…9"
"Pregunta P8.6.2.2 ¿En cuánto tiempo cree que terminará de pagar este préstamo de familiares o amigos?","2","C","p8_6_2_2","p8_6_2_2","00…11,99"
"Pregunta P8.1.3 ¿Actualmente usted debe dinero a una casa de empeño, prestamistas o agiotistas?","1","C","p8_1_3","p8_1_3","1,2"
"Pregunta P8.2.3 En total, ¿cuántos préstamos debe a una casa de empeño, prestamistas o agiotistas?","1","C","p8_2_3","p8_2_3","1…9"
"Pregunta P8.3.3 ¿Cuánto le prestaron en una casa de empeño, prestamistas o agiotistas?","6","C","p8_3_3","p8_3_3","000001...700000,999888,999999"
"Pregunta P8.4.3 De lo que le prestaron inicialmente, ¿cuánto debe todavía a una casa de empeño, prestamistas o agiotistas?","6","C","p8_4_3","p8_4_3","000001...500000,900000,999888,999999"
"Pregunta P8.5.3 ¿Cuánto pagó el mes pasado (considerando todos los préstamos) una casa de empeño, prestamistas o agiotistas?","6","C","p8_5_3","p8_5_3","000000,000013...030000,999999"
"Pregunta P8.6.3.1 ¿En cuánto tiempo cree que terminará de pagar este préstamo de una casa de empeño, prestamistas o agiotistas?","1","C","p8_6_3_1","p8_6_3_1","0…9"
"Pregunta P8.6.3.2 ¿En cuánto tiempo cree que terminará de pagar este préstamo de una casa de empeño, prestamistas o agiotistas?","2","C","p8_6_3_2","","00…11"
"Pregunta P8.1.4 ¿Actualmente usted tiene un préstamo que haya pedido a Otro?","1","C","p8_1_4","p8_1_4","1,2"
"Pregunta P8.2.4 En total, ¿cuántos préstamos debe a Otro?","1","C","p8_2_4","","1…4"
"Pregunta P8.3.4 ¿Cuánto le prestaron Otro?","6","C","p8_3_4","p8_3_4","000150...500000,900000"
"Pregunta P8.4.4 De lo que le prestaron, ¿cuánto debe todavía a Otro?","6","C","p8_4_4","p8_4_4","000150...300000,900000,999999"
"Pregunta P8.5.4 ¿Cuánto pagó el mes pasado (considerando todos los préstamos) Otro?","6","C","p8_5_4","p8_5_4","000000,000050...250000,999999"
"Pregunta P8.6.4.1 ¿En cuánto tiempo cree que terminará de pagar este préstamo de Otros?","1","C","p8_6_4_1","","0…4"
"Pregunta P8.6.4.2 ¿En cuánto tiempo cree que terminará de pagar este préstamo de Otros?","2","C","p8_6_4_2","","00…11"
"Pregunta P8.7.1 ¿Para qué ocupó o piensa utilizar el dinero que le prestaron? Gastos de comida, personales o pago de servicios","1","C","p8_7_1","p8_7_1","0,1"
"Pregunta P8.7.2 ¿Para qué ocupó o piensa utilizar el dinero que le prestaron? Gastos de salud","1","C","p8_7_2","p8_7_2","0,1"
"Pregunta P8.7.3 ¿Para qué ocupó o piensa utilizar el dinero que le prestaron? Atender una emergencia o imprevistos","1","C","p8_7_3","p8_7_3","0,1"
"Pregunta P8.7.4 ¿Para qué ocupó o piensa utilizar el dinero que le prestaron? Gastos de educación","1","C","p8_7_4","p8_7_4","0,1"
"Pregunta P8.7.5 ¿Para qué ocupó o piensa utilizar el dinero que le prestaron? Reparar, remodelar o ampliar una casa","1","C","p8_7_5","p8_7_5","0,1"
"Pregunta P8.7.6 ¿Para qué ocupó o piensa utilizar el dinero que le prestaron? Comprar un vehículo (auto, camioneta o motocicleta)","1","C","p8_7_6","p8_7_6","0,1"
"Pregunta P8.7.7 ¿Para qué ocupó o piensa utilizar el dinero que le prestaron? Pagar una deuda (diferente a negocio)","1","C","p8_7_7","p8_7_7","0,1"
"Pregunta P8.7.8 ¿Para qué ocupó o piensa utilizar el dinero que le prestaron? Otro (vacaciones, bodas, XV años, etcétera)","1","C","p8_7_8","p8_7_8","0,1"
"Pregunta P8.7.9 ¿Para qué ocupó o piensa utilizar el dinero que le prestaron? No sabe","1","C","p8_7_9","p8_7_9","0,1"
"Pregunta P8.8.1 ¿Usted tiene tarjeta de crédito departamental (que solo la aceptan en esa tienda: Sears, Sanborns, etcétera)?","1","C","p8_8_1","p8_8_1","1,2"
"Pregunta P8.9.1 ¿Cuántas(os) tarjeta de crédito departamental (que solo la aceptan en esa tienda: Sears, Sanborns, etcétera) tiene?","1","C","p8_9_1","p8_9_1","1…9"
"Pregunta P8.10.1 ¿En esta tarjeta de crédito departamental (BBVA Bancomer, BanCoppel, CitiBanamex, HSBC, Santander, Banco Azteca, etcétera) tiene deuda?","1","C","p8_10_1","p8_10_1","1,2,9"
"Pregunta P8.10A.1 ¿En cuántas tarjeta de crédito departamental (que solo la aceptan en esa tienda: Sears, Sanborns, etcétera) tiene deuda?","1","C","p8_10a_1","p8_10a_1","0…5,9"
"Pregunta P8.8.2 ¿Usted tiene tarjeta de crédito bancaria (BBVA Bancomer, BanCoppel, CitiBanamex, HSBC, Santander, Banco Azteca, etcétera)?","1","C","p8_8_2","p8_8_2","1,2"
"Pregunta P8.9.2 ¿Cuántas tarjeta de crédito bancaria (BBVA Bancomer, BanCoppel, CitiBanamex, HSBC, Santander, Banco Azteca, etcétera) tiene?","1","C","p8_9_2","p8_9_2","1…9"
"Pregunta P8.10.2 ¿En esta tarjeta de crédito bancaria (BBVA Bancomer, BanCoppel, CitiBanamex, HSBC, Santander, Banco Azteca, etcétera) tiene deuda?","1","C","p8_10_2","p8_10_2","1,2,9"
"Pregunta P8.10A.2 ¿En cuántas tarjeta de crédito bancaria (BBVA Bancomer, BanCoppel, CitiBanamex, HSBC, Santander, Banco Azteca, etcétera) tiene deuda?","1","C","p8_10a_2","p8_10a_2","0…8"
"Pregunta P8.8.3 ¿Usted tiene crédito de nómina?","1","C","p8_8_3","p8_8_3","1,2"
"Pregunta P8.9.3 ¿Cuántos créditos de nómina tiene?","1","C","p8_9_3","p8_9_3","1…3,8,9"
"Pregunta P8.8.4 ¿Usted tiene crédito educativo?","1","C","p8_8_4","p8_8_4","1,2"
"Pregunta P8.9.4 ¿Cuántos créditos educativo tiene?","1","C","p8_9_4","p8_9_4","1,9"
"Pregunta P8.8.5 ¿Usted tiene crédito personal?","1","C","p8_8_5","p8_8_5","1,2"
"Pregunta P8.9.5 ¿Cuántas tarjetas de crédito personal tiene?","1","C","p8_9_5","p8_9_5","1…6,8,9"
"Pregunta P8.8.6 ¿Usted tiene crédito grupal, comunal o solidario (Compartamos, Finsol)?","1","C","p8_8_6","p8_8_6","1,2"
"Pregunta P8.9.6 ¿Cuántas tarjetas de crédito grupal, comunal o solidario (Compartamos, Finsol) tiene?","1","C","p8_9_6","p8_9_6","1…6,8,9"
"Pregunta P8.8.7 ¿Usted tiene Otro?","1","C","p8_8_7","p8_8_7","1,2"
"Pregunta P8.9.7 ¿Cuántas tarjetas Otro tiene?","1","C","p8_9_7","","1,2"
"Pregunta P8.55 ¿Cuál es la razón principal por la que no tiene alguno de estos préstamos, créditos o tarjetas de crédito?","1","C","p8_55","p8_55","1…9"
"Pregunta P8.56 De octubre de 2016 a la fecha, ¿solicitó algún crédito con un banco, institución financiera o tienda departamental?","1","C","p8_56","p8_56","1,2,9"
"Pregunta P8.57 ¿Cuál fue el resultado de la última solicitud de crédito?","1","C","p8_57","p8_57","1…3,9"
"Pregunta P8.58 Si fue aceptada la solicitud, ¿cuál es la razón principal por la que actualmente no tiene un crédito?","1","C","p8_58","p8_58","1…6,9"
"Pregunta P8.59 ¿Cuál fue la razón principal por la que le negaron el crédito?","1","C","p8_59","p8_59","1…6,9"
"Pregunta P9.1.1 ¿Usted tiene dinero ahorrado en una caja de ahorro de conocidos o del trabajo?","1","C","p9_1_1","p9_1_1","1,2"
"Pregunta P9.2.1 Del dinero ahorrado en una caja de ahorro de conocidos o del trabajo, ¿cuánto tiene guardado hasta este momento?","6","C","p9_2_1","p9_2_1","000000,000020...900000,999888,999999"
"Pregunta P9.1.2 ¿Usted tiene dinero guardado con familiares o amigos?","1","C","p9_1_2","p9_1_2","1,2"
"Pregunta P9.2.2 Del dinero guardado con familiares o amigos, ¿cuánto tiene guardado hasta este momento?","6","C","p9_2_2","p9_2_2","000000,000010...600000,999888,999999"
"Pregunta P9.1.3 ¿Usted tiene dinero ahorrado en una tanda?","1","C","p9_1_3","p9_1_3","1,2"
"Pregunta P9.2.3 Del dinero ahorrado en una tanda, ¿cuánto tiene guardado hasta este momento?","6","C","p9_2_3","p9_2_3","000000,000050...515000,999888,999999"
"Pregunta P9.1.4 ¿Usted tiene dinero prestado como una forma de ahorro?","1","C","p9_1_4","p9_1_4","1,2"
"Pregunta P9.2.4 Del dinero prestado como una forma de ahorro, ¿cuánto tiene guardado hasta este momento?","6","C","p9_2_4","p9_2_4","000000,000100...700000,999888,999999"
"Pregunta P9.1.5 ¿Usted tiene Otro?","1","C","p9_1_5","p9_1_5","1,2"
"Pregunta P9.2.5 Del Otro, ¿cuánto tiene guardado hasta este momento?","6","C","p9_2_5","p9_2_5","000000,000020...500000,999888,999999"
"Pregunta P9.3.1 ¿Usted tiene cuenta o tarjeta de nómina o pensión (donde depositan su sueldo o pensión)?","1","C","p9_3_1","p9_3_1","1,2"
"Pregunta P9.4.1 ¿Cuántas(os) cuenta o tarjeta de nómina o pensión (donde depositan su sueldo o pensión) tiene?","1","C","p9_4_1","p9_4_1","1…4,7...9"
"Pregunta P9.3.2 ¿Usted tiene cuenta o tarjeta para recibir apoyos de gobierno (donde le depositan su apoyo de gobierno)?","1","C","p9_3_2","p9_3_2","1,2"
"Pregunta P9.4.2 ¿Cuántas(os) cuenta o tarjeta para recibir apoyos de gobierno (donde le depositan su apoyo de gobierno)?","1","C","p9_4_2","p9_4_2","1…3,8"
"Pregunta P9.3.3 ¿Usted tiene cuenta de ahorro?","1","C","p9_3_3","p9_3_3","1,2"
"Pregunta P9.4.3 ¿Cuántas(os) cuenta de ahorro tiene?","1","C","p9_4_3","p9_4_3","1…5,7...9"
"Pregunta P9.5.3 ¿Algún otro integrante de su hogar ahorra en esta(s) cuenta de ahorro?","1","C","p9_5_3","p9_5_3","1,2"
"Pregunta P9.5A.3 Actualmente en su(s) cuenta de ahorro ¿cuánto tiene ahorrado (que solo sea de usted)?","9","C","p9_5a_3","p9_5a_3","000000000...006000000,999999888,999999999"
"Pregunta P9.3.4 ¿Usted tiene cuenta de cheques?","1","C","p9_3_4","p9_3_4","1,2"
"Pregunta P9.4.4 ¿Cuántas(os) cuenta de cheques tiene?","1","C","p9_4_4","p9_4_4","1…4,9"
"Pregunta P9.5.4 ¿Algún otro integrante de su hogar ahorra en esta(s) cuenta de cheques?","1","C","p9_5_4","p9_5_4","1,2"
"Pregunta P9.5A.4 Actualmente en su(s) cuenta de cheques ¿cuánto tiene ahorrado (que solo sea de usted)?","9","C","p9_5a_4","p9_5a_4","000000000,000000010...000900000,999999888,999999999"
"Pregunta P9.3.5 ¿Usted tiene depósitos a plazo fijo (solo puede retirar dinero en determinadas fechas)?","1","C","p9_3_5","p9_3_5","1,2"
"Pregunta P9.4.5 ¿Cuántas(os) depósitos a plazo fijo (solo puede retirar dinero en determinadas fechas) tiene?","1","C","p9_4_5","p9_4_5","1…6,8,9"
"Pregunta P9.5.5 ¿Algún otro integrante de su hogar ahorra en esta(s) depósitos a plazo fijo (solo puede retirar dinero en determinadas fechas)?","1","C","p9_5_5","p9_5_5","1,2"
"Pregunta P9.5A.5 Actualmente en su(s) depósitos a plazo fijo (solo puede retirar dinero en determinadas fechas) ¿cuánto tiene ahorrado (que solo sea de usted)?","9","C","p9_5a_5","p9_5a_5","000000000...002080000,999999888,999999999"
"Pregunta P9.3.6 ¿Usted tiene fondos de inversión (tener acciones en casa de bolsa)?","1","C","p9_3_6","p9_3_6","1,2"
"Pregunta P9.4.6 ¿Cuántas(os) fondos de inversión (tener acciones en casa de bolsa) tiene?","1","C","p9_4_6","p9_4_6","1…4,7,8"
"Pregunta P9.5.6 ¿Algún otro integrante de su hogar ahorra en esta(s) fondos de inversión (tener acciones en casa de bolsa)?","1","C","p9_5_6","p9_5_6","1,2"
"Pregunta P9.5A.6 Actualmente en su(s) fondos de inversión (tener acciones en casa de bolsa) ¿cuánto tiene ahorrado (que solo sea de usted)?","9","C","p9_5a_6","p9_5a_6","000000000,000000002...030000000,999999888,999999999"
"Pregunta P9.3.7 ¿Usted tiene Otro?","1","C","p9_3_7","p9_3_7","1,2"
