cve,descrip
1,"Reparar, remodelar o ampliar una casa"
2,"Comprar un vehículo (auto, camioneta, motocicleta)"
3,"Gastos de comida, personales o pago de servicios"
4,Pagar una deuda (diferente a negocio)
5,Atender una emergencia o imprevistos
6,Gastos de salud
7,Gastos de educación
8,"Otro (vacaciones, bodas, XV años, etcétera)"
9,No sabe
