cve,descrip
0,Persona no ocupada
1,Empleado(a) u obrero(a)
2,Jornalero(a) o peón(a)
3,Patrón(a) o empleador(a)
4,Trabajador(a) por su cuenta
5,Trabajador(a) familiar sin pago y ayudante con pago
