cve,descrip
1,La agencia automotriz
2,Un banco
3,"Otra institución financiera (Sofipo, Sofom, etcétera)"
4,"Otras fuentes como tarjetas de crédito, crédito personal, préstamos de familiares, agiotistas, etcétera"
9,No sabe
