"TLOC","Hogares_Estimados","Riqueza_Media","Activos_Medios","Deuda_Media","Localidad"
1,17983666,882310.28416998,945379.320475091,63069.0363051115,"100,000 y más hab"
2,5345988,750773.466011334,789290.230082634,38516.7640712998,"15,000 a 99,999 hab"
3,5028295,660144.845029578,688937.782733511,28792.9377039334,"2,500 a 14,999 hab"
4,8203345,553435.906986479,569578.049907568,16142.1429210889,"Menos de 2,500 hab"
NA,83386,313566.429232725,346060.570119684,32494.1408869594,"Desconocido"
