"Pais","Premio_Riesgo","Gamma_Total","Gamma_Durables","Gamma_Servicios"
"México",0.0641142857142857,31.6563574111294,14.4382415835588,156.848233668838
"Estados Unidos",0.1228,-1837.19088268943,44.9062123558768,-175.700242391597
"Canadá",0.0326285714285714,97.1681398212194,27.0686860588738,185.058265614946
