"TLOC","Pct_Ahorros","Pct_Familiares","Pct_Prestamo","Localidad"
1,2.39753118190696,19.8627743642481,10.5693966958684,"100,000 y más hab"
2,3.74647305605624,18.5595066805238,13.3077178624419,"15,000 a 99,999 hab"
3,3.23600743393138,12.9122893545426,14.6972084971148,"2,500 a 14,999 hab"
4,2.42676615453818,12.9455484317678,18.39467924365,"Menos de 2,500 hab"
NA,0,0,0,"Desconocido"
