"Variable","Volatilidad_HP","Volatilidad_Growth","Cor_TasaReal_HP","Cor_TCFix_HP"
"Total",2.9837145304637,4.44488155970459,0.103036465160355,-0.15142913642723
"Nacional",2.83372332878319,4.20274725178355,NA,NA
"Importado",6.85196248425451,11.3767039618798,NA,NA
