"","ciclo_total","ciclo_nacional","ciclo_importado","tasa_real","tc_fix"
"ciclo_total",1,0.988306573799792,0.914773671305478,0.103036465160355,-0.525098363407721
"ciclo_nacional",0.988306573799792,1,0.851115235048407,0.0752616418544356,-0.474218110098683
"ciclo_importado",0.914773671305478,0.851115235048407,1,0.113335220005454,-0.550302024022002
"tasa_real",0.103036465160355,0.0752616418544356,0.113335220005454,1,-0.43455684259607
"tc_fix",-0.525098363407721,-0.474218110098683,-0.550302024022002,-0.43455684259607,1
