"","growth_total","growth_nacional","growth_importado"
"growth_total",0.00197569720798019,0.00181759086349932,0.00428239797843104
"growth_nacional",0.00181759086349932,0.00176630844623742,0.00344065571608371
"growth_importado",0.00428239797843104,0.00344065571608371,0.0129429393036251
