cve,descrip
1,Jefe(a)
2,Esposo(a) o compañero(a)
3,Hijo(a)
4,Nieto(a)
5,Yerno o nuera
6,"Padre, madre o suegro(a)"
7,Otro parentesco
8,Sin parentesco
