cve,descrip
1,Le cobran intereses muy altos
2,No se quiere volver a endeudar
3,Ya no lo necesita o terminó de pagar el crédito
4,Tuvo una mala experiencia con la institución financiera
5,Prefiere otro tipo de préstamo (familiares o amigos)
6,Otro
9,No especificado
