cve,descrip
1,No le gusta endeudarse
2,No le interesa o no lo necesita
3,"No cumple con los requisitos (no tiene trabajo, ingresos insuficientes)"
4,Los intereses o comisiones son altas
5,No confía en las instituciones financieras o le dan mal servicio
6,Cree que lo van a rechazar
7,La sucursal le queda lejos o no hay
8,Otro
9,No especificado
