cve,descrip
1,Trabajó por lo menos una hora
2,"Tenía trabajo, pero no trabajó"
3,Buscó trabajo
4,Es estudiante
5,Se dedica a los quehaceres del hogar o a cuidar a sus hijos
6,Es jubilado(a) o pensionado(a)
7,Tiene una limitación física (o mental) permanente que le impide trabajar
8,No trabajó
