cve,descrip
1,Problemas con el buró de crédito
2,No pudo comprobar ingresos o eran insuficientes
3,No tiene historial crediticio
4,Piden documentos que no tiene
5,"Falta de garantía, fiador o aval"
6,Otro
9,No sabe
