cve,descrip
1,Hasta 60 m2
2,De 61 a 90 m2
3,De 91 a 120 m2
4,De 121 a 160 m2
5,De 161 a 200 m2
6,De 201 a 300 m2
7,De 301 a 500 m2
8,Más de 500 m2
9,No sabe
