cve,descrip
1,Hasta 30 m2
2,De 31 a 45 m2
3,De 46 a 55 m2
4,De 56 a 75 m2
5,De 76 a 100 m2
6,De 101 a 150 m2
7,De 151 a 200 m2
8,Más de 200 m2
9,No sabe
