cve,descrip
1,"Hasta $400,000"
2,"De $400,001 a $600,000"
3,"De $600,001 a $1,000,000"
4,"De $1,000,001 a $2,500,000"
5,"De $2,500,001 a $5,000,000"
6,"Más de $5,000,001"
8,No responde
9,No sabe
